income,degree,region
20786,22.3,W
21729,22.8,NC
19517,25.4,S
19588,25.3,W
24400,27.8,W
16803,16.6,NE
18042,22.1,W
17461,13.7,NC
17823,18.8,S
21001,26.3,S
16721,15.2,NE
23779,32.8,W
25193,32.6,W
16399,14.9,W
21086,20.1,NC
25312,35.4,NE
20681,22.6,NE
24262,23,NE
31679,30,NE
22148,28.8,W
22355,18.8,S
15508,19.7,S
17185,14.6,W
18825,24,S
26884,30.2,NC
18934,23,W
23705,31.6,NC
24219,29.2,NC
18305,20,NE
19040,26.6,NC
18431,19.3,NC
33330,35.3,NE
20580,23.7,NC
26798,22.1,S
24875,25.8,NE
21610,18.5,S
21307,24.6,W
16876,20.2,S
32342,34.2,NE
18430,20.8,S
32230,31.7,NE
28999,49,S
22197,24.2,NE
25523,31.6,W
19148,21.4,NC
26772,36,NC
24523,24,NE
30081,49.9,S
18625,13.8,W
17263,15.5,S
19568,25.5,S
15399,23.8,W
28532,35,W
20924,13.5,NC
21641,26.3,NE
19895,22.2,NE
23470,25,S
28462,32.1,NE
17879,21.2,S
17662,18.4,S
24896,26.5,NE
22834,25.9,NE
21420,23,W
16365,16.9,W
15191,23.3,W
19140,19.3,S
23150,27.7,NE
18624,19.9,S
28819,31.3,W
22819,31.6,S
18611,20,NC
26909,34.4,NE
23603,33.3,S
17741,22.6,S
17866,18.3,NE
11545,15.2,S
16194,17.5,W
19215,23.7,W
18340,34.7,S
18410,20,NC
27391,28.4,NE
18463,19.7,NE
23658,24.8,NE
21005,32.7,S
15881,13.3,W
22548,24.8,NE
27378,32,NC
18583,19.7,NC
20942,28.3,S
19505,24.4,S
18521,15.9,NE
19295,23.7,S
19930,21,NE
18674,20.7,NC
16578,22.4,S
26248,25,NE
20303,28.8,NC
15453,13.2,W
17518,26.7,W
16327,12.8,NC
19401,24.4,NE
22156,29,W
18545,19.3,W
17815,17,NC
19073,17.6,NE
21973,18.7,NE
17101,18.8,S
21933,33,S
22284,25.2,NE
20997,30.7,W
21500,22.2,NE
20974,15.3,NE
16829,12.8,NC
22797,24.6,S
20658,35.3,S
18878,16.7,NE
31520,36.7,NE
19629,24.9,NC
14835,12.9,S
19276,22.2,NC
17668,20.4,S
16807,25.8,W
18113,15.3,NC
23008,23.6,NE
17697,25.5,S
22507,35.2,W
22055,24.5,W
8899,11.5,S
17881,27.5,S
14389,15.5,S
24732,34.7,NE
15648,14.8,S
15238,13,W
17069,15.4,NE
21902,26.6,W
16898,14.3,NC
20087,34.2,NC
16365,20.6,W
18787,18,NC
19465,21.5,W
26156,40.5,NC
19861,29.6,S
18225,23.5,S
20349,24.8,S
17268,18.7,W
19502,13.9,NE
19655,15.1,NE
22581,26.4,NE
17382,23.9,S
18877,16.4,S
16405,13.1,NE
26026,29.5,NE
17874,21,S
21684,21.4,NC
14710,11.8,W
19932,29.8,W
19788,19.5,NE
23004,27.1,NC
19123,19,NC
16015,22.4,S
21003,28.3,NE
16750,18.7,NC
15124,17,S
19785,19.6,NE
17885,26.3,S
17137,28,S
18242,19.7,S
22782,41.9,NC
15701,22.2,W
17458,29.2,NC
13944,9.1,S
19942,23.6,W
24948,21.9,S
16331,16.2,NE
21123,27.6,NC
12923,16.6,S
17801,32.3,S
16006,12.3,NC
20645,24.1,S
26757,33,NE
16116,13,W
16256,14,NC
22303,39.1,S
11467,26.2,W
16190,14.7,NC
15392,18.2,S
16412,16.8,S
9728,12,S
22173,24.8,NE
20259,21.8,NE
21327,20.7,W
16215,26.4,S
18376,16.7,NC
16477,16.7,NE
17980,14.4,NC
16337,18.2,S
18336,16.7,NE
17211,19.2,NC
21770,25.9,NE
21362,27.6,NE
33180,38.3,NE
17418,15.5,S
18990,30.1,S
16790,16.8,W
18348,18.6,NE
37541,44,W
18523,18.1,NE
22025,29.7,W
16022,17.5,W
16144,11.4,NC
15776,14.3,S
18301,30.2,S
19320,30.6,S
21421,42.1,W
24035,16.4,NE
18288,27.1,NC
15443,23.4,S
16647,13.6,NE
16963,14.8,NE
17744,19.3,S
17221,22.9,W
17776,18.6,S
20543,27.6,S
19692,17.5,NC
17816,27.6,NC
18753,21.2,NC
18058,20.7,NE
16904,13,NC
17997,15.5,S
17469,24.2,S
16630,20.7,NC
17192,17.6,S
18786,24.9,W
16625,13.6,NE
15419,17.3,NC
19254,22.9,NE
13802,11.5,S
18490,17.7,NC
16422,37.1,S
17951,15.1,S
13536,17.2,S
17009,19.8,W
15941,17.3,S
14925,16.6,S
15374,13.7,W
13394,23.5,W
18360,18.7,NC
27546,46.9,S
23267,28.1,NE
17140,32.3,W
15162,11.9,NE
21855,21,NC
18342,19.5,NC
17084,19.4,S
20941,21.5,S
15051,19.5,W
16171,14.7,S
19238,33.4,S
16058,34.6,S
18857,25.2,NE
15505,16.6,S
13961,12,W
19601,22.4,NC
16319,10.8,S
18426,16.5,NC
16934,19.1,S
14443,25.9,S
25161,25,NE
16957,34.1,NC
20168,22.7,W
15896,9,NC
30242,52.3,S
15327,18.4,S
14968,14.7,S
18126,21,S
13691,16.3,S
18824,21.6,NE
18093,16,NC
16868,22.5,S
17908,19,NE
14473,10.8,NE
14134,10.3,NC
16232,16.7,NC
17312,24.7,W
20086,20.5,NE
19558,22.3,NC
14767,11.1,NC
15301,18,W
16770,14.2,NC
17774,19.5,NE
18395,20,NC
15853,8.1,NE
17496,12.7,S
25589,22.3,S
17251,15.6,NE
16924,16.9,S
17511,19.8,S
15113,20,S
19954,22,S
16231,14.5,NC
14137,13.1,S
17548,17,S
10190,13.4,S
15750,12.9,NC
20679,23,NE
17818,15,NC
16676,12.2,NC
16277,13.7,W
15521,17.7,NE
17853,31.9,NE
15582,17.6,W
20682,26.2,NC
17480,10.7,NC
14051,9.3,NE
14205,12.9,S
17129,23.1,S
14693,16,S
15803,21,S
15747,15.6,S
24132,28.2,NE
16031,17.6,NC
13869,18.9,S
16935,17,S
15197,14.2,NE
19727,30.3,W
17182,16.7,NC
17645,18.2,NC
14934,24.6,S
16742,13.3,NC
20068,20.9,NE
16819,10.8,NE
18161,26,NC
15944,13.8,NC
11379,21.9,W
14743,19.1,S
17278,10.5,NC
8973,11.1,S
15874,18.4,W
19940,34,NE
14615,14.6,S
16713,16.9,S
24405,24.9,NE
16018,11.7,NC
15847,30.7,NC
14779,10.5,NE
18961,29,NC
17566,18.5,NC
21944,29.2,NE
16412,13,NC
17338,12.7,NC
16002,22,W
14814,15.7,S
15079,10,S
16191,11.6,NC
19250,20.8,W
18526,21.3,NC
15476,32.3,NE
18008,13.6,NC
22002,19.6,S
14197,14,W
17119,16.5,S
18892,18,NC
12641,35.8,S
14834,12.9,NE
16281,12.4,NE
15177,13.6,NE
17898,17.2,S
16728,18.5,W
17119,21.2,S
20600,25.4,NE
15697,16.5,NC
16021,20.7,S
16138,20,W
14766,11.4,S
14757,17.5,NC
15778,12.3,NE
15501,18.7,S
17396,14.2,S
18021,14.8,NC
11396,8.2,W
13776,14.2,S
17131,18.1,NE
21153,19.6,NC
16305,13.5,NC
13475,14.4,S
14961,14.8,S
16500,11.8,NE
17272,21.5,W
14736,20,S
17522,21.9,NC
17332,23.3,W
17175,36.5,NC
12704,15.1,NE
16499,11,NC
13228,18.4,S
31699,48.5,S
14946,15,NE
16362,13.4,S
15205,13.6,NE
22668,22.3,W
15691,11.7,S
19449,29.1,NE
16542,11.4,NC
14523,9.7,W
14266,32.9,NC
25681,36.2,NC
12597,8.5,NC
17306,14.6,S
15852,21.9,S
30255,34.6,NE
16451,11.2,S
13681,17.7,W
16655,11.7,NC
16119,10.5,NC
11490,12.7,W
19345,26.4,S
14721,9.1,S
20515,29.5,NC
15036,18.1,NC
16029,17.9,S
16154,12.6,NE
10849,11,S
16775,17.7,S
13350,12.7,S
17182,21.7,NE
18061,13.8,NC
16342,15.5,NC
16514,14.4,S
16275,26.5,NC
11803,15,S
16137,25.4,NC
18070,16.8,NE
13907,9,W
16464,13.9,NC
19317,16.2,S
13919,9.7,S
27125,20.3,S
13169,16.5,S
18504,17.8,W
16458,15.5,S
